k,max_depth,f1_score
10,5,0.5263157894736842
10,5,0.4090909090909091
10,5,0.3333333333333333
10,5,0.43478260869565216
10,5,0.5208333333333334
10,5,0.3488372093023256
10,5,0.30952380952380953
10,5,0.3488372093023256
10,5,0.38636363636363635
10,5,0.4044943820224719
10,5,0.35294117647058826
10,5,0.22784810126582278
10,5,0.35294117647058826
10,5,0.46808510638297873
10,5,0.32941176470588235
10,5,0.24096385542168675
10,5,0.4044943820224719
10,5,0.43478260869565216
10,5,0.3488372093023256
10,5,0.4044943820224719
10,5,0.3132530120481928
10,5,0.4090909090909091
10,5,0.2716049382716049
10,5,0.38202247191011235
10,5,0.4044943820224719
10,5,0.30952380952380953
10,5,0.4731182795698925
10,5,0.3488372093023256
10,5,0.5
10,5,0.3448275862068966
10,5,0.22784810126582278
10,5,0.3488372093023256
10,5,0.2926829268292683
10,5,0.3448275862068966
10,5,0.3488372093023256
10,5,0.3488372093023256
10,5,0.46808510638297873
10,5,0.4222222222222222
10,5,0.4044943820224719
10,5,0.45652173913043476
10,5,0.5714285714285714
10,5,0.4222222222222222
10,5,0.2926829268292683
10,5,0.32941176470588235
10,5,0.43956043956043955
10,5,0.32941176470588235
10,5,0.45652173913043476
10,5,0.32558139534883723
10,5,0.38636363636363635
10,5,0.43956043956043955
10,5,0.46153846153846156
10,5,0.4444444444444444
10,5,0.35294117647058826
10,5,0.32941176470588235
10,5,0.4044943820224719
10,5,0.30952380952380953
10,5,0.367816091954023
10,5,0.2891566265060241
10,5,0.4222222222222222
10,5,0.5052631578947369
10,5,0.4444444444444444
10,5,0.38636363636363635
10,5,0.3132530120481928
10,5,0.24691358024691357
10,5,0.43956043956043955
10,5,0.32941176470588235
10,5,0.36363636363636365
10,5,0.4044943820224719
10,5,0.43956043956043955
10,5,0.45161290322580644
10,5,0.42696629213483145
10,5,0.3132530120481928
10,5,0.5416666666666666
10,5,0.4731182795698925
10,5,0.2682926829268293
10,5,0.30952380952380953
10,5,0.367816091954023
10,5,0.45161290322580644
10,5,0.3058823529411765
10,5,0.367816091954023
10,5,0.18181818181818182
10,5,0.3333333333333333
10,5,0.37209302325581395
10,5,0.30952380952380953
10,5,0.4731182795698925
10,5,0.367816091954023
10,5,0.4044943820224719
10,5,0.3488372093023256
10,5,0.4044943820224719
10,5,0.4175824175824176
10,5,0.39080459770114945
10,5,0.35294117647058826
10,5,0.35294117647058826
10,5,0.5
10,5,0.38636363636363635
10,5,0.48936170212765956
10,5,0.5510204081632653
10,5,0.30952380952380953
10,5,0.2891566265060241
10,5,0.38636363636363635
10,None,0.8455284552845529
10,None,0.8387096774193549
10,None,0.773109243697479
10,None,0.7868852459016393
10,None,0.8188976377952756
10,None,0.7521367521367521
10,None,0.8225806451612904
10,None,0.7906976744186046
10,None,0.8130081300813008
10,None,0.8253968253968254
10,None,0.8503937007874016
10,None,0.7413793103448276
10,None,0.8292682926829268
10,None,0.875
10,None,0.848
10,None,0.7868852459016393
10,None,0.7666666666666667
10,None,0.8062015503875969
10,None,0.8292682926829268
10,None,0.7642276422764228
10,None,0.8099173553719008
10,None,0.8064516129032258
10,None,0.7521367521367521
10,None,0.8615384615384616
10,None,0.8412698412698413
10,None,0.8412698412698413
10,None,0.816
10,None,0.7457627118644068
10,None,0.816
10,None,0.6956521739130435
10,None,0.7142857142857143
10,None,0.7563025210084033
10,None,0.8
10,None,0.7704918032786885
10,None,0.8661417322834646
10,None,0.832
10,None,0.7933884297520661
10,None,0.8372093023255814
10,None,0.8
10,None,0.7833333333333333
10,None,0.832
10,None,0.8099173553719008
10,None,0.84375
10,None,0.7833333333333333
10,None,0.7804878048780488
10,None,0.7479674796747967
10,None,0.816
10,None,0.7563025210084033
10,None,0.8031496062992126
10,None,0.873015873015873
10,None,0.8264462809917356
10,None,0.782608695652174
10,None,0.8099173553719008
10,None,0.8166666666666667
10,None,0.7692307692307693
10,None,0.8421052631578947
10,None,0.7333333333333333
10,None,0.8
10,None,0.8372093023255814
10,None,0.8292682926829268
10,None,0.8455284552845529
10,None,0.8
10,None,0.864
10,None,0.7899159663865546
10,None,0.816
10,None,0.7226890756302521
10,None,0.8099173553719008
10,None,0.8130081300813008
10,None,0.773109243697479
10,None,0.7967479674796748
10,None,0.7899159663865546
10,None,0.7603305785123967
10,None,0.75
10,None,0.816
10,None,0.873015873015873
10,None,0.7868852459016393
10,None,0.8292682926829268
10,None,0.8702290076335878
10,None,0.7540983606557377
10,None,0.7804878048780488
10,None,0.773109243697479
10,None,0.8253968253968254
10,None,0.8032786885245902
10,None,0.8
10,None,0.819672131147541
10,None,0.773109243697479
10,None,0.7768595041322314
10,None,0.8032786885245902
10,None,0.7692307692307693
10,None,0.8661417322834646
10,None,0.7603305785123967
10,None,0.7719298245614035
10,None,0.7796610169491526
10,None,0.8130081300813008
10,None,0.816
10,None,0.8412698412698413
10,None,0.8507462686567164
10,None,0.7804878048780488
10,None,0.8032786885245902
10,None,0.7868852459016393
